pathway description	SRR17644439
ANAGLYCOLYSIS-PWY	Generation of Precursor Metabolite and Energy; Glycolysis
ANAPHENOXI-PWY	Degradation/Utilization/Assimilation; Amino Acid Degradation
ARABCAT-PWY	Degradation/Utilization/Assimilation; Carbohydrate Degradation
ARG+POLYAMINE-SYN	Biosynthesis; Amine and Polyamine Biosynthesis
ARG-GLU-PWY	Degradation/Utilization/Assimilation; Amino Acid Degradation
ARG-PRO-PWY	Degradation/Utilization/Assimilation; Amino Acid Degradation
ARGASEDEG-PWY	Degradation/Utilization/Assimilation; Amino Acid Degradation
ARGDEG-III-PWY	Degradation/Utilization/Assimilation; Amino Acid Degradation
ARGDEG-IV-PWY	Degradation/Utilization/Assimilation; Amino Acid Degradation
ARGDEG-PWY	Degradation/Utilization/Assimilation; Amino Acid Degradation
ARGDEG-V-PWY	Degradation/Utilization/Assimilation; Amino Acid Degradation
ARGDEGRAD-PWY	Degradation/Utilization/Assimilation; Amino Acid Degradation
ARGORNPROST-PWY	Degradation/Utilization/Assimilation; Amino Acid Degradation
ARGSPECAT-PWY	Biosynthesis; Amine and Polyamine Biosynthesis
ARGSYN-PWY	Biosynthesis; Amino Acid Biosynthesis
ARGSYNBSUB-PWY	Biosynthesis; Amino Acid Biosynthesis
ARO-PWY	Biosynthesis; Aromatic Compound Biosynthesis
ASPARAGINE-BIOSYNTHESIS	Biosynthesis; Amino Acid Biosynthesis
ASPARAGINE-DEG1-PWY	Degradation/Utilization/Assimilation; Amino Acid Degradation
ASPARAGINESYN-PWY	Biosynthesis; Amino Acid Biosynthesis
ASPARTATE-DEG1-PWY	Degradation/Utilization/Assimilation; Amino Acid Degradation
ASPARTATESYN-PWY	Biosynthesis; Amino Acid Biosynthesis
ASPASN-PWY	Biosynthesis; Amino Acid Biosynthesis
AST-PWY	Degradation/Utilization/Assimilation; Amino Acid Degradation
BENZCOA-PWY	Degradation/Utilization/Assimilation; Aromatic Compound Degradation
BETSYN-PWY	Biosynthesis; Amine and Polyamine Biosynthesis
BGALACT-PWY	Degradation/Utilization/Assimilation; Carbohydrate Degradation
BIOTIN-BIOSYNTHESIS-PWY	Biosynthesis; Cofactor, Prosthetic Group, Electron Carrier, and Vitamin Biosynthesis
BRANCHED-CHAIN-AA-SYN-PWY	Biosynthesis; Amino Acid Biosynthesis
BSUBPOLYAMSYN-PWY	Biosynthesis; Amine and Polyamine Biosynthesis
CALVIN-PWY	Degradation/Utilization/Assimilation; C1 Compound Utilization and Assimilation
CARNMET-PWY	Degradation/Utilization/Assimilation; Amine and Polyamine Degradation
CAROTENOID-PWY	Biosynthesis; Secondary Metabolite Biosynthesis
CATECHOL-ORTHO-CLEAVAGE-PWY	Degradation/Utilization/Assimilation; Aromatic Compound Degradation
CENTBENZCOA-PWY	Degradation/Utilization/Assimilation; Aromatic Compound Degradation
CENTFERM-PWY	Generation of Precursor Metabolite and Energy; Fermentation
CHLOROPHYLL-SYN	Biosynthesis; Cofactor, Prosthetic Group, Electron Carrier, and Vitamin Biosynthesis
CHOLINE-BETAINE-ANA-PWY	Degradation/Utilization/Assimilation; Amine and Polyamine Degradation
CITRULLINE-DEG-PWY	Degradation/Utilization/Assimilation; Amino Acid Degradation
CO2FORM-PWY	Generation of Precursor Metabolite and Energy; Respiration
COA-PWY	Biosynthesis; Cofactor, Prosthetic Group, Electron Carrier, and Vitamin Biosynthesis
COBALSYN-PWY	Biosynthesis; Cofactor, Prosthetic Group, Electron Carrier, and Vitamin Biosynthesis
CODH-PWY	Degradation/Utilization/Assimilation; C1 Compound Utilization and Assimilation
COLANSYN-PWY	Biosynthesis; Carbohydrate Biosynthesis
COMPLETE-ARO-PWY	Biosynthesis; Amino Acid Biosynthesis
CRNFORCAT-PWY	Degradation/Utilization/Assimilation; Amine and Polyamine Degradation
CYANCAT-PWY	Degradation/Utilization/Assimilation; Inorganic Nutrient Metabolism
CYCLOHEXANOL-OXIDATION-PWY	Degradation/Utilization/Assimilation; Alcohol Degradation
CYSTSYN-PWY	Biosynthesis; Amino Acid Biosynthesis
DAPLYSINESYN-PWY	Biosynthesis; Amino Acid Biosynthesis
DARABCAT-PWY	Degradation/Utilization/Assimilation; Carbohydrate Degradation
DARABCATK12-PWY	Degradation/Utilization/Assimilation; Carbohydrate Degradation
DARABITOLUTIL-PWY	Degradation/Utilization/Assimilation; Secondary Metabolite Degradation
DENITRIFICATION-PWY	Degradation/Utilization/Assimilation; Inorganic Nutrient Metabolism
DENOVOPURINE2-PWY	Biosynthesis; Nucleoside and Nucleotide Biosynthesis
DESULFONATION-PWY	Degradation/Utilization/Assimilation; Aromatic Compound Degradation
DETOX1-PWY	Detoxification; Reactive Oxygen Specie Degradation
DETOX1-PWY-1	Detoxification; Reactive Oxygen Specie Degradation
DHGLUCONATE-PYR-CAT-PWY	Degradation/Utilization/Assimilation; Secondary Metabolite Degradation
DISSULFRED-PWY	Degradation/Utilization/Assimilation; Inorganic Nutrient Metabolism
DTDPRHAMSYN-PWY	Biosynthesis; Carbohydrate Biosynthesis
ECASYN-PWY	Biosynthesis; Cell Structure Biosynthesis
ENTBACSYN-PWY	Biosynthesis; Secondary Metabolite Biosynthesis
ENTNER-DOUDOROFF-PWY	Degradation/Utilization/Assimilation; Carbohydrate Degradation
ETOH-ACETYLCOA-ANA-PWY	Degradation/Utilization/Assimilation; Alcohol Degradation
FAO-PWY	Degradation/Utilization/Assimilation; Fatty Acid and Lipid Degradation
FASYN-ELONG-PWY	Biosynthesis; Fatty Acid and Lipid Biosynthesis
FASYN-INITIAL-PWY	Biosynthesis; Fatty Acid and Lipid Biosynthesis
FERMENTATION-PWY	Generation of Precursor Metabolite and Energy; Fermentation
FESULFOX-PWY	Degradation/Utilization/Assimilation; Inorganic Nutrient Metabolism
FLUORENE-DEG-9-ONE-PWY	Degradation/Utilization/Assimilation; Aromatic Compound Degradation
FOLSYN-PWY	Biosynthesis; Cofactor, Prosthetic Group, Electron Carrier, and Vitamin Biosynthesis
FORMASS-PWY	Degradation/Utilization/Assimilation; C1 Compound Utilization and Assimilation
FUC-RHAMCAT-PWY	Superpathways; superpathway of fucose and rhamnose degradation
FUCCAT-PWY	Degradation/Utilization/Assimilation; Carbohydrate Degradation
GALACT-GLUCUROCAT-PWY	Superpathways; superpathway of hexuronide and hexuronate degradation
GALACTARDEG-PWY	Degradation/Utilization/Assimilation; Secondary Metabolite Degradation
GALACTCAT-PWY	Degradation/Utilization/Assimilation; Secondary Metabolite Degradation
GALACTITOLCAT-PWY	Degradation/Utilization/Assimilation; Secondary Metabolite Degradation
GALACTUROCAT-PWY	Degradation/Utilization/Assimilation; Secondary Metabolite Degradation
GALDEG-PWY	Degradation/Utilization/Assimilation; Carbohydrate Degradation
GALLATE-DEGRADATION-I-PWY	Degradation/Utilization/Assimilation; Aromatic Compound Degradation
GALLATE-DEGRADATION-II-PWY	Degradation/Utilization/Assimilation; Aromatic Compound Degradation
GAMMAHEXCHLORDEG-PWY	Degradation/Utilization/Assimilation; Chlorinated Compound Degradation
GDPRHAMSYN-PWY	Biosynthesis; Carbohydrate Biosynthesis
GLCMANNANAUT-PWY	Degradation/Utilization/Assimilation; Amine and Polyamine Degradation
GLNSYN-PWY	Degradation/Utilization/Assimilation; Inorganic Nutrient Metabolism
GLUAMCAT-PWY	Degradation/Utilization/Assimilation; Secondary Metabolite Degradation
GLUCARDEG-PWY	Degradation/Utilization/Assimilation; Secondary Metabolite Degradation
GLUCARGALACTSUPER-PWY	Superpathways; superpathway of D-glucarate and D-galactarate degradation
GLUCONEO-PWY	Biosynthesis; Carbohydrate Biosynthesis
GLUCONSUPER-PWY	Degradation/Utilization/Assimilation; Carboxylate Degradation
GLUCOSE1PMETAB-PWY	Degradation/Utilization/Assimilation; Carbohydrate Degradation
GLUCUROCAT-PWY	Degradation/Utilization/Assimilation; Secondary Metabolite Degradation
GLUDEG-II-PWY	Generation of Precursor Metabolite and Energy; Fermentation
GLUT-REDOX-PWY	Biosynthesis; Cofactor, Prosthetic Group, Electron Carrier, and Vitamin Biosynthesis
GLUTAMATE-DEG1-PWY	Degradation/Utilization/Assimilation; Amino Acid Degradation
GLUTAMATE-SYN2-PWY	Biosynthesis; Amino Acid Biosynthesis
GLUTAMINDEG-PWY	Degradation/Utilization/Assimilation; Amino Acid Degradation
GLUTAMINEFUM-PWY	Degradation/Utilization/Assimilation; Amino Acid Degradation
GLUTATHIONESYN-PWY	Biosynthesis; Cofactor, Prosthetic Group, Electron Carrier, and Vitamin Biosynthesis
GLUTDEG-PWY	Degradation/Utilization/Assimilation; Amino Acid Degradation
GLUTORN-PWY	Biosynthesis; Amino Acid Biosynthesis
GLUTSYN-PWY	Biosynthesis; Amino Acid Biosynthesis
GLUTSYNIII-PWY	Biosynthesis; Amino Acid Biosynthesis
GLYCEROLMETAB-PWY	Degradation/Utilization/Assimilation; Alcohol Degradation
GLYCLEAV-PWY	Degradation/Utilization/Assimilation; Amino Acid Degradation
GLYCOCAT-PWY	Degradation/Utilization/Assimilation; Polymeric Compound Degradation
GLYCOGENSYNTH-PWY	Glycan Pathways; Glycan Biosynthesis
GLYCOL-GLYOXDEG-PWY	Degradation/Utilization/Assimilation; Alcohol Degradation
GLYCOLATEMET-PWY	Degradation/Utilization/Assimilation; Carboxylate Degradation
GLYCOLYSIS	Generation of Precursor Metabolite and Energy; Glycolysis
GLYCOLYSIS-E-D	Superpathways; superpathway of glycolysis and the Entner-Doudoroff pathway
GLYCOLYSIS-TCA-GLYOX-BYPASS	Superpathways; "superpathway of glycolysis, pyruvate dehydrogenase, TCA, and glyoxylate bypass"
GLYOXDEG-PWY	Degradation/Utilization/Assimilation; Carboxylate Degradation
GLYOXYLATE-BYPASS	Generation of Precursor Metabolite and Energy; glyoxylate cycle
GLYSYN-ALA-PWY	Biosynthesis; Amino Acid Biosynthesis
GLYSYN-PWY	Biosynthesis; Amino Acid Biosynthesis
GOLPDLCAT-PWY	Degradation/Utilization/Assimilation; Alcohol Degradation
HCAMHPDEG-PWY	Degradation/Utilization/Assimilation; Aromatic Compound Degradation
HEME-BIOSYNTHESIS-II	Biosynthesis; Cofactor, Prosthetic Group, Electron Carrier, and Vitamin Biosynthesis
HEMESYN2-PWY	Biosynthesis; Cofactor, Prosthetic Group, Electron Carrier, and Vitamin Biosynthesis
HEXITOLDEGSUPER-PWY	Degradation/Utilization/Assimilation; Secondary Metabolite Degradation
HEXPPSYN-PWY	Biosynthesis; Cofactor, Prosthetic Group, Electron Carrier, and Vitamin Biosynthesis
HISDEG-PWY	Degradation/Utilization/Assimilation; Amino Acid Degradation
HISTDEG-PWY	Degradation/Utilization/Assimilation; Amino Acid Degradation
HISTSYN-PWY	Biosynthesis; Amino Acid Biosynthesis
HOMOCYSDEGR-PWY	Degradation/Utilization/Assimilation; Amino Acid Degradation
HOMOSER-METSYN-PWY	Biosynthesis; Amino Acid Biosynthesis
HOMOSER-THRESYN-PWY	Biosynthesis; Amino Acid Biosynthesis
HOMOSERSYN-PWY	Biosynthesis; Amino Acid Biosynthesis
HSERMETANA-PWY	Biosynthesis; Amino Acid Biosynthesis
IDNCAT-PWY	Degradation/Utilization/Assimilation; Secondary Metabolite Degradation
ILEUDEG-PWY	Degradation/Utilization/Assimilation; Amino Acid Degradation
ILEUSYN-PWY	Biosynthesis; Amino Acid Biosynthesis
KDO-LIPASYN-PWY	Biosynthesis; Fatty Acid and Lipid Biosynthesis
KDO-NAGLIPASYN-PWY	Biosynthesis; Cell Structure Biosynthesis
KDOSYN-PWY	Biosynthesis; Cell Structure Biosynthesis
KETOGLUCONMET-PWY	Degradation/Utilization/Assimilation; Secondary Metabolite Degradation
LACTOSECAT-PWY	Degradation/Utilization/Assimilation; Carbohydrate Degradation
LACTOSEUTIL-PWY	Degradation/Utilization/Assimilation; Carbohydrate Degradation
LARABITOLUTIL-PWY	Degradation/Utilization/Assimilation; Secondary Metabolite Degradation
LCYSDEG-PWY	Degradation/Utilization/Assimilation; Amino Acid Degradation
LEU-DEG2-PWY	Degradation/Utilization/Assimilation; Amino Acid Degradation
LEUSYN-PWY	Biosynthesis; Amino Acid Biosynthesis
LIPA-CORESYN-PWY	Biosynthesis; Carbohydrate Biosynthesis
LIPAS-PWY	Degradation/Utilization/Assimilation; Fatty Acid and Lipid Degradation
LIPASYN-PWY	Degradation/Utilization/Assimilation; Fatty Acid and Lipid Degradation
LPSSYN-PWY	Biosynthesis; Fatty Acid and Lipid Biosynthesis
LYXMET-PWY	Degradation/Utilization/Assimilation; Carbohydrate Degradation
M-CRESOL-DEGRADATION-PWY	Degradation/Utilization/Assimilation; Aromatic Compound Degradation
MALTOSECAT-PWY	Degradation/Utilization/Assimilation; Carbohydrate Degradation
MANNCAT-PWY	Degradation/Utilization/Assimilation; Carbohydrate Degradation
MANNIDEG-PWY	Degradation/Utilization/Assimilation; Secondary Metabolite Degradation
MENAQUINONESYN-PWY	Biosynthesis; Cofactor, Prosthetic Group, Electron Carrier, and Vitamin Biosynthesis
MET-SAM-PWY	Superpathways; superpathway of S-adenosyl-L-methionine biosynthesis
METH-ACETATE-PWY	Generation of Precursor Metabolite and Energy; Respiration
METHANOGENESIS-PWY	Generation of Precursor Metabolite and Energy; Respiration
METHFORM-PWY	Generation of Precursor Metabolite and Energy; Respiration
METHGLYUT-PWY	Degradation/Utilization/Assimilation; Aldehyde Degradation
METHIONINE-DEG1-PWY	Degradation/Utilization/Assimilation; Amino Acid Degradation
METHYLGALLATE-DEGRADATION-PWY	Degradation/Utilization/Assimilation; Aromatic Compound Degradation
N2FIX-PWY	Degradation/Utilization/Assimilation; Inorganic Nutrient Metabolism
NAD-BIOSYNTHESIS-II	Biosynthesis; Cofactor, Prosthetic Group, Electron Carrier, and Vitamin Biosynthesis
NAD-BIOSYNTHESIS-III	Biosynthesis; Cofactor, Prosthetic Group, Electron Carrier, and Vitamin Biosynthesis
NADPHOS-DEPHOS-PWY	Biosynthesis; Cofactor, Prosthetic Group, Electron Carrier, and Vitamin Biosynthesis
NADPHOS-DEPHOS-PWY-1	Biosynthesis; Cofactor, Prosthetic Group, Electron Carrier, and Vitamin Biosynthesis
NADSYN-PWY	Biosynthesis; Cofactor, Prosthetic Group, Electron Carrier, and Vitamin Biosynthesis
NAGLIPASYN-PWY	Biosynthesis; Cell Structure Biosynthesis
NONMEVIPP-PWY	Biosynthesis; Secondary Metabolite Biosynthesis
NONOXIPENT-PWY	Generation of Precursor Metabolite and Energy; Pentose Phosphate Pathways
NOPALINEDEG-PWY	Degradation/Utilization/Assimilation; Secondary Metabolite Degradation
NPGLUCAT-PWY	Degradation/Utilization/Assimilation; Carbohydrate Degradation
OANTIGEN-PWY	Biosynthesis; Carbohydrate Biosynthesis
OCTOPINEDEG-PWY	Degradation/Utilization/Assimilation; Secondary Metabolite Degradation
ORN-AMINOPENTANOATE-CAT-PWY	Biosynthesis; Amino Acid Biosynthesis
ORNARGDEG-PWY	Degradation/Utilization/Assimilation; Amino Acid Degradation
ORNDEG-PWY	Degradation/Utilization/Assimilation; Amine and Polyamine Degradation
OXIDATIVEPENT-PWY	Generation of Precursor Metabolite and Energy; Pentose Phosphate Pathways
P101-PWY	Biosynthesis; Amine and Polyamine Biosynthesis
P105-PWY	Generation of Precursor Metabolite and Energy; TCA cycle
P108-PWY	Generation of Precursor Metabolite and Energy; Fermentation
P121-PWY	Biosynthesis; Nucleoside and Nucleotide Biosynthesis
P122-PWY	Generation of Precursor Metabolite and Energy; Fermentation
P124-PWY	Generation of Precursor Metabolite and Energy; Fermentation
P125-PWY	Generation of Precursor Metabolite and Energy; Fermentation
P141-PWY	Degradation/Utilization/Assimilation; Aromatic Compound Degradation
P142-PWY	Generation of Precursor Metabolite and Energy; Fermentation
P161-PWY	Generation of Precursor Metabolite and Energy; Fermentation
P162-PWY	Generation of Precursor Metabolite and Energy; Fermentation
P163-PWY	Generation of Precursor Metabolite and Energy; Fermentation
P164-PWY	Degradation/Utilization/Assimilation; Nucleoside and Nucleotide Degradation
P181-PWY	Degradation/Utilization/Assimilation; Degradation/Utilization/Assimilation - Other
P183-PWY	Degradation/Utilization/Assimilation; Aromatic Compound Degradation
P184-PWY	Degradation/Utilization/Assimilation; Aromatic Compound Degradation
P2-PWY	Biosynthesis; Cofactor, Prosthetic Group, Electron Carrier, and Vitamin Biosynthesis
P201-PWY	Degradation/Utilization/Assimilation; Degradation/Utilization/Assimilation - Other
P203-PWY	Degradation/Utilization/Assimilation; Inorganic Nutrient Metabolism
P21-PWY	Generation of Precursor Metabolite and Energy; Pentose Phosphate Pathways
P221-PWY	Degradation/Utilization/Assimilation; Degradation/Utilization/Assimilation - Other
P222-PWY	Degradation/Utilization/Assimilation; Inorganic Nutrient Metabolism
P224-PWY	Degradation/Utilization/Assimilation; Inorganic Nutrient Metabolism
P23-PWY	Degradation/Utilization/Assimilation; C1 Compound Utilization and Assimilation
P241-PWY	Biosynthesis; Cofactor, Prosthetic Group, Electron Carrier, and Vitamin Biosynthesis
P261-PWY	Biosynthesis; Cofactor, Prosthetic Group, Electron Carrier, and Vitamin Biosynthesis
P281-PWY	Degradation/Utilization/Assimilation; Aromatic Compound Degradation
P282-PWY	Generation of Precursor Metabolite and Energy; Electron Transfer
P283-PWY	Generation of Precursor Metabolite and Energy; Chemoautotrophic Energy Metabolism
P3-PWY	Degradation/Utilization/Assimilation; Aromatic Compound Degradation
P301-PWY	Generation of Precursor Metabolite and Energy; Chemoautotrophic Energy Metabolism
P302-PWY	Degradation/Utilization/Assimilation; Carbohydrate Degradation
P303-PWY	Degradation/Utilization/Assimilation; Inorganic Nutrient Metabolism
P321-PWY	Degradation/Utilization/Assimilation; Aromatic Compound Degradation
P341-PWY	Generation of Precursor Metabolite and Energy; Glycolysis
P342-PWY	Degradation/Utilization/Assimilation; Aromatic Compound Degradation
P343-PWY	Degradation/Utilization/Assimilation; Aromatic Compound Degradation
P344-PWY	Degradation/Utilization/Assimilation; Degradation/Utilization/Assimilation - Other
P345-PWY	Degradation/Utilization/Assimilation; Aromatic Compound Degradation
P381-PWY	Superpathways; adenosylcobalamin biosynthesis II (aerobic)
P4-PWY	Biosynthesis; Amino Acid Biosynthesis
P401-PWY	Degradation/Utilization/Assimilation; Degradation/Utilization/Assimilation - Other
P41-PWY	Generation of Precursor Metabolite and Energy; Fermentation
P42-PWY	Degradation/Utilization/Assimilation; C1 Compound Utilization and Assimilation
P421-PWY	Degradation/Utilization/Assimilation; Aromatic Compound Degradation
P441-PWY	Degradation/Utilization/Assimilation; Carboxylate Degradation
P461-PWY	Generation of Precursor Metabolite and Energy; Fermentation
P481-PWY	Degradation/Utilization/Assimilation; Degradation/Utilization/Assimilation - Other
P482-PWY	Degradation/Utilization/Assimilation; Degradation/Utilization/Assimilation - Other
P483-PWY	Degradation/Utilization/Assimilation; Inorganic Nutrient Metabolism
P541-PWY	Biosynthesis; Amine and Polyamine Biosynthesis
P542-PWY	Degradation/Utilization/Assimilation; Amine and Polyamine Degradation
P561-PWY	Degradation/Utilization/Assimilation; Amine and Polyamine Degradation
P562-PWY	Degradation/Utilization/Assimilation; Secondary Metabolite Degradation
P581-PWY	Degradation/Utilization/Assimilation; Degradation/Utilization/Assimilation - Other
P601-PWY	Degradation/Utilization/Assimilation; Secondary Metabolite Degradation
P621-PWY	Degradation/Utilization/Assimilation; Degradation/Utilization/Assimilation - Other
P641-PWY	Detoxification; Mercury Detoxification
P661-PWY	Degradation/Utilization/Assimilation; Aromatic Compound Degradation
P662-PWY	Degradation/Utilization/Assimilation; Aromatic Compound Degradation
PANTO-PWY	Biosynthesis; Cofactor, Prosthetic Group, Electron Carrier, and Vitamin Biosynthesis
PANTOSYN-PWY	Biosynthesis; Cofactor, Prosthetic Group, Electron Carrier, and Vitamin Biosynthesis
PARATHION-DEGRADATION-PWY	Degradation/Utilization/Assimilation; Aromatic Compound Degradation
PCEDEG-PWY	Degradation/Utilization/Assimilation; Chlorinated Compound Degradation
PCPDEG-PWY	Degradation/Utilization/Assimilation; Chlorinated Compound Degradation
PENTOSE-P-PWY	Generation of Precursor Metabolite and Energy; Pentose Phosphate Pathways
PEPTIDOGLYCANSYN-PWY	Biosynthesis; Cell Structure Biosynthesis
PHENOLDEG-PWY	Degradation/Utilization/Assimilation; Aromatic Compound Degradation
PHENYLALANINE-DEG1-PWY	Degradation/Utilization/Assimilation; Amino Acid Degradation
PHESYN	Biosynthesis; Amino Acid Biosynthesis
PHOSLIPSYN-PWY	Biosynthesis; Fatty Acid and Lipid Biosynthesis
PHOSPHONOTASE-PWY	Degradation/Utilization/Assimilation; Inorganic Nutrient Metabolism
PHOTOALL-PWY	Generation of Precursor Metabolite and Energy; Photosynthesis
PLPSAL-PWY	Biosynthesis; Cofactor, Prosthetic Group, Electron Carrier, and Vitamin Biosynthesis
POLYAMINSYN3-PWY	Biosynthesis; Amine and Polyamine Biosynthesis
POLYAMSYN-PWY	Biosynthesis; Amine and Polyamine Biosynthesis
POLYISOPRENSYN-PWY	Biosynthesis; Cofactor, Prosthetic Group, Electron Carrier, and Vitamin Biosynthesis
PPGPPMET-PWY	Biosynthesis; Metabolic Regulator Biosynthesis
PROPFERM-PWY	Generation of Precursor Metabolite and Energy; Fermentation
PROPIONMET-PWY	Degradation/Utilization/Assimilation; Carboxylate Degradation
PROSYN-PWY	Biosynthesis; Amino Acid Biosynthesis
PROTOCATECHUATE-ORTHO-CLEAVAGE-PWY	Degradation/Utilization/Assimilation; Aromatic Compound Degradation
PROUT-PWY	Degradation/Utilization/Assimilation; Amino Acid Degradation
PRPP-PWY	Superpathways; "superpathway of histidine, purine, and pyrimidine biosynthesis"
PUTDEG-PWY	Degradation/Utilization/Assimilation; Amine and Polyamine Degradation
PWY-1001	Biosynthesis; Cell Structure Biosynthesis
PWY-101	Generation of Precursor Metabolite and Energy; Photosynthesis
PWY-102	Degradation/Utilization/Assimilation; Hormone Degradation
PWY-116	Degradation/Utilization/Assimilation; Aromatic Compound Degradation
PWY-1164	Degradation/Utilization/Assimilation; Degradation/Utilization/Assimilation - Other
PWY-1263	Degradation/Utilization/Assimilation; Inorganic Nutrient Metabolism
PWY-1264	Degradation/Utilization/Assimilation; Inorganic Nutrient Metabolism
PWY-1269	Biosynthesis; Carbohydrate Biosynthesis
PWY-1281	Degradation/Utilization/Assimilation; Inorganic Nutrient Metabolism
PWY-1341	Degradation/Utilization/Assimilation; Aromatic Compound Degradation
PWY-1361	Degradation/Utilization/Assimilation; Aromatic Compound Degradation
PWY-1381	Degradation/Utilization/Assimilation; Aromatic Compound Degradation
PWY-142	Degradation/Utilization/Assimilation; Aromatic Compound Degradation
PWY-1422	Biosynthesis; Cofactor, Prosthetic Group, Electron Carrier, and Vitamin Biosynthesis
PWY-1501	Degradation/Utilization/Assimilation; Aromatic Compound Degradation
PWY-1541	Degradation/Utilization/Assimilation; Inorganic Nutrient Metabolism
PWY-1622	Degradation/Utilization/Assimilation; C1 Compound Utilization and Assimilation
PWY-1641	Degradation/Utilization/Assimilation; C1 Compound Utilization and Assimilation
PWY-1701	Degradation/Utilization/Assimilation; C1 Compound Utilization and Assimilation
PWY-1722	Degradation/Utilization/Assimilation; C1 Compound Utilization and Assimilation
PWY-1723	Degradation/Utilization/Assimilation; C1 Compound Utilization and Assimilation
PWY-1781	Degradation/Utilization/Assimilation; Amino Acid Degradation
PWY-1801	Degradation/Utilization/Assimilation; C1 Compound Utilization and Assimilation
PWY-181	Generation of Precursor Metabolite and Energy; Photosynthesis
PWY-1861	Degradation/Utilization/Assimilation; C1 Compound Utilization and Assimilation
PWY-1881	Generation of Precursor Metabolite and Energy; Chemoautotrophic Energy Metabolism
PWY-1882	Degradation/Utilization/Assimilation; C1 Compound Utilization and Assimilation
PWY-2	Degradation/Utilization/Assimilation; Amine and Polyamine Degradation
PWY-2161	Biosynthesis; Cofactor, Prosthetic Group, Electron Carrier, and Vitamin Biosynthesis
PWY-2201	Biosynthesis; Cofactor, Prosthetic Group, Electron Carrier, and Vitamin Biosynthesis
PWY-2221	Degradation/Utilization/Assimilation; Carbohydrate Degradation
PWY-2242	Degradation/Utilization/Assimilation; Inorganic Nutrient Metabolism
PWY-2261	Detoxification; Reactive Oxygen Specie Degradation
PWY-2301	Biosynthesis; Secondary Metabolite Biosynthesis
PWY-2361	Degradation/Utilization/Assimilation; Carboxylate Degradation
PWY-2381	Degradation/Utilization/Assimilation; Aromatic Compound Degradation
PWY-2421	Degradation/Utilization/Assimilation; Hormone Degradation
PWY-2503	Degradation/Utilization/Assimilation; Aromatic Compound Degradation
PWY-2504	Degradation/Utilization/Assimilation; Aromatic Compound Degradation
PWY-2601	Degradation/Utilization/Assimilation; Inorganic Nutrient Metabolism
PWY-2622	Biosynthesis; Metabolic Regulator Biosynthesis
PWY-2661	Biosynthesis; Metabolic Regulator Biosynthesis
PWY-2721	Degradation/Utilization/Assimilation; Carbohydrate Degradation
PWY-2722	Degradation/Utilization/Assimilation; Carbohydrate Degradation
PWY-283	Degradation/Utilization/Assimilation; Aromatic Compound Degradation
PWY-2941	Biosynthesis; Amino Acid Biosynthesis
PWY-2942	Biosynthesis; Amino Acid Biosynthesis
PWY-3	Degradation/Utilization/Assimilation; Amine and Polyamine Degradation
PWY-3001	Biosynthesis; Amino Acid Biosynthesis
PWY-301	Degradation/Utilization/Assimilation; Carboxylate Degradation
PWY-3081	Biosynthesis; Amino Acid Biosynthesis
PWY-3161	Biosynthesis; Hormone Biosynthesis
PWY-3162	Degradation/Utilization/Assimilation; Amino Acid Degradation
PWY-3181	Degradation/Utilization/Assimilation; Amino Acid Degradation
